backend,op,interp,src_w,src_h,dst_w,dst_h,rot,stress,iters,variant,min_us,mean_us,trimmed_mean_us,stddev_us,cv,p50_us,p95_us,p99_us,max_us
halide,rotate,linear,1080,1440,1440,1080,90,0,10,4,678,754.10,754.10,72.36,0.0960,703,885,885,885
halide,nv21_resize_rgb,nearest,1080,1440,384,384,90,0,300,4,118,239.67,230.63,83.95,0.3503,221,424,527,695
halide,nv21_resize_rgb,nearest,1080,1440,518,518,90,0,300,4,229,409.19,391.42,155.49,0.3800,365,707,951,1425
halide,nv21_resize_rgb,nearest,1080,1440,640,640,90,0,300,4,304,512.26,496.58,152.60,0.2979,489,768,1091,1416
halide,nv21_resize_rgb,nearest,1080,1440,1280,1280,90,0,300,4,755,873.76,849.75,171.17,0.1959,804,1179,1648,1829
halide,nv21_resize_rgb,nearest,1080,1440,1408,1408,90,0,300,4,844,952.16,938.20,109.47,0.1150,912,1214,1328,1517
halide,nv21_resize_rgb,nearest,2296,3056,384,384,90,0,300,4,123,234.89,225.75,97.94,0.4169,218,346,470,1554
halide,nv21_resize_rgb,nearest,2296,3056,518,518,90,0,300,4,240,450.36,430.58,165.81,0.3682,405,754,1099,1468
halide,nv21_resize_rgb,nearest,2296,3056,640,640,90,0,300,4,299,467.57,460.35,97.12,0.2077,452,621,835,1118
halide,nv21_resize_rgb,nearest,2296,3056,1280,1280,90,0,300,4,754,905.80,879.89,176.09,0.1944,837,1261,1689,1796
halide,nv21_resize_rgb,nearest,2296,3056,1408,1408,90,0,300,4,830,1025.97,1013.87,148.47,0.1447,1021,1328,1497,1592
halide,nv21_resize_rgb,nearest,3000,4000,384,384,90,0,300,4,117,247.84,241.04,78.66,0.3174,233,378,484,765
halide,nv21_resize_rgb,nearest,3000,4000,518,518,90,0,300,4,244,386.25,378.27,95.95,0.2484,367,573,681,881
halide,nv21_resize_rgb,nearest,3000,4000,640,640,90,0,300,4,312,590.50,573.73,175.03,0.2964,538,949,1170,1456
halide,nv21_resize_rgb,nearest,3000,4000,1280,1280,90,0,300,4,762,881.64,864.87,146.76,0.1665,815,1215,1320,1443
halide,nv21_resize_rgb,nearest,3000,4000,1408,1408,90,0,300,4,828,982.65,960.81,157.38,0.1602,926,1309,1583,1854
halide,nv21_resize_rgb,linear,1080,1440,384,384,90,0,300,4,431,720.68,709.62,167.22,0.2320,701,971,1175,1805
halide,nv21_resize_rgb,linear,1080,1440,518,518,90,0,300,4,566,748.40,723.53,215.39,0.2878,648,1183,1538,1890
halide,nv21_resize_rgb,linear,1080,1440,640,640,90,0,300,4,700,992.63,973.23,258.39,0.2603,894,1480,1726,1910
halide,nv21_resize_rgb,linear,1080,1440,1280,1280,90,0,300,4,2648,2791.46,2784.66,85.45,0.0306,2776,2938,3054,3216
halide,nv21_resize_rgb,linear,1080,1440,1408,1408,90,0,300,4,2991,3214.85,3195.89,158.82,0.0494,3169,3628,3766,3917
halide,nv21_resize_rgb,linear,2296,3056,384,384,90,0,300,4,472,835.94,809.77,239.75,0.2868,775,1329,1796,2090
halide,nv21_resize_rgb,linear,2296,3056,518,518,90,0,300,4,596,883.87,871.65,165.86,0.1876,861,1201,1418,1779
halide,nv21_resize_rgb,linear,2296,3056,640,640,90,0,300,4,707,1039.10,1014.89,301.24,0.2899,944,1606,1864,2108
