backend,op,interp,src_w,src_h,dst_w,dst_h,rot,stress,iters,min_us,mean_us,stddev_us,p50_us,p95_us,p99_us,max_us
halide,rotate,linear,1920,1080,1080,1920,90,0,50,904,1070.08,158.42,1050,1231,1969,1969
halide,rotate,linear,1280,720,720,1280,90,0,200,392,436.08,47.37,421,512,680,724
halide,rotate,linear,1280,720,720,1280,90,2,200,444,494.74,51.66,472,580,679,705
halide,rotate,linear,1280,720,720,1280,90,4,200,604,719.84,64.71,704,846,913,988
halide,rotate,linear,1920,1080,1080,1920,90,0,200,796,940.30,141.00,899,1270,1379,1466
halide,rotate,linear,1920,1080,1080,1920,90,2,200,1490,1613.07,118.88,1583,1845,2083,2358
halide,rotate,linear,1920,1080,1080,1920,90,4,200,1802,1946.35,109.93,1909,2206,2280,2334
halide,rotate,linear,3840,2160,2160,3840,90,0,200,6452,7484.89,613.74,7304,8403,10045,11557
halide,rotate,linear,3840,2160,2160,3840,90,2,200,8651,9399.49,388.63,9375,10058,10710,10961
halide,rotate,linear,3840,2160,2160,3840,90,4,200,11699,13072.47,601.38,13001,14108,14641,14786
halide,rotate,linear,1280,720,1280,720,180,0,200,186,225.57,74.07,207,304,453,1063
halide,rotate,linear,1280,720,1280,720,180,2,200,203,329.53,104.93,305,519,808,878
halide,rotate,linear,1280,720,1280,720,180,4,200,220,316.05,78.25,302,412,498,1061
halide,rotate,linear,1920,1080,1920,1080,180,0,200,267,355.72,120.62,318,527,695,1356
halide,rotate,linear,1920,1080,1920,1080,180,2,200,331,411.30,84.46,390,586,715,805
halide,rotate,linear,1920,1080,1920,1080,180,4,200,441,575.61,103.29,547,790,952,1155
halide,rotate,linear,3840,2160,3840,2160,180,0,200,1051,1178.07,150.10,1125,1515,1603,1779
halide,rotate,linear,3840,2160,3840,2160,180,2,200,1347,1509.30,132.02,1474,1761,1852,1977
halide,rotate,linear,3840,2160,3840,2160,180,4,200,1807,1967.63,106.69,1936,2196,2242,2489
halide,rotate,linear,1280,720,720,1280,270,0,200,372,440.75,90.79,418,529,743,1439
halide,rotate,linear,1280,720,720,1280,270,2,200,468,527.51,71.47,508,642,802,996
halide,rotate,linear,1280,720,720,1280,270,4,200,597,786.48,88.17,772,932,1078,1339
halide,rotate,linear,1920,1080,1080,1920,270,0,200,903,1003.67,105.82,980,1198,1295,1611
halide,rotate,linear,1920,1080,1080,1920,270,2,200,1578,1701.19,69.83,1693,1843,1900,1954
halide,rotate,linear,1920,1080,1080,1920,270,4,200,1573,1745.01,115.40,1711,1984,2087,2178
halide,rotate,linear,3840,2160,2160,3840,270,0,200,7222,8172.47,892.51,8024,9543,12392,15248
halide,rotate,linear,3840,2160,2160,3840,270,2,200,8924,10200.17,526.30,10156,11136,11973,12040
halide,rotate,linear,3840,2160,2160,3840,270,4,200,12930,14341.34,616.63,14270,15327,16523,16737
opencv_neon,rotate,linear,1280,720,720,1280,90,0,200,1615,1646.95,27.59,1629,1692,1715,1729
opencv_neon,rotate,linear,1280,720,720,1280,90,2,200,1594,1617.67,19.90,1607,1645,1652,1692
opencv_neon,rotate,linear,1280,720,720,1280,90,4,200,1611,1635.24,19.09,1624,1664,1671,1676
opencv_neon,rotate,linear,1920,1080,1080,1920,90,0,200,3972,4211.62,618.88,4038,4523,7551,10169
opencv_neon,rotate,linear,1920,1080,1080,1920,90,2,200,5450,5539.81,70.01,5522,5661,5773,5993
opencv_neon,rotate,linear,1920,1080,1080,1920,90,4,200,5035,5081.92,51.53,5069,5125,5283,5518
opencv_neon,rotate,linear,3840,2160,2160,3840,90,0,200,22126,22886.67,1737.42,22326,24349,26725,40342
opencv_neon,rotate,linear,3840,2160,2160,3840,90,2,200,20216,20370.74,82.34,20352,20542,20616,20760
opencv_neon,rotate,linear,3840,2160,2160,3840,90,4,200,19155,19934.40,722.88,19714,21262,21369,21438
opencv_neon,rotate,linear,1280,720,1280,720,180,0,200,790,814.25,26.74,802,866,923,964
opencv_neon,rotate,linear,1280,720,1280,720,180,2,200,673,783.08,51.92,803,839,849,886
opencv_neon,rotate,linear,1280,720,1280,720,180,4,200,660,718.33,152.64,675,951,1386,2195
opencv_neon,rotate,linear,1920,1080,1920,1080,180,0,200,1033,1081.87,34.64,1076,1146,1162,1224
opencv_neon,rotate,linear,1920,1080,1920,1080,180,2,200,1062,1632.57,605.39,1572,1852,4238,6474
opencv_neon,rotate,linear,1920,1080,1920,1080,180,4,200,1509,1610.28,170.78,1563,1855,2409,2845
opencv_neon,rotate,linear,3840,2160,3840,2160,180,0,200,5123,5670.86,153.27,5685,5907,6019,6028
opencv_neon,rotate,linear,3840,2160,3840,2160,180,2,200,6676,6979.49,173.79,6949,7294,7448,7618
