backend,op,interp,src_w,src_h,dst_w,dst_h,rot,stress,iters,variant,min_us,mean_us,trimmed_mean_us,stddev_us,cv,p50_us,p95_us,p99_us,max_us
halide,rotate,linear,1080,1440,1440,1080,90,0,10,0,692,878.10,878.10,112.55,0.1282,837,1046,1046,1046
halide,nv21_resize_rgb,nearest,1080,1440,384,384,90,0,300,0,116,233.00,214.35,178.40,0.7657,200,396,538,2898
halide,nv21_resize_rgb,nearest,1080,1440,518,518,90,0,300,0,215,459.75,430.70,299.91,0.6523,410,684,1081,5011
halide,nv21_resize_rgb,nearest,1080,1440,640,640,90,0,300,0,298,484.84,471.48,137.54,0.2837,464,697,1209,1383
halide,nv21_resize_rgb,nearest,1080,1440,1280,1280,90,0,300,0,755,849.70,832.57,126.84,0.1493,804,1146,1266,1710
halide,nv21_resize_rgb,nearest,1080,1440,1408,1408,90,0,300,0,844,949.53,933.00,115.53,0.1217,908,1146,1416,1652
halide,nv21_resize_rgb,nearest,2296,3056,384,384,90,0,300,0,117,234.64,228.60,69.96,0.2982,224,367,467,544
halide,nv21_resize_rgb,nearest,2296,3056,518,518,90,0,300,0,209,382.52,373.79,104.52,0.2732,357,566,689,1217
halide,nv21_resize_rgb,nearest,2296,3056,640,640,90,0,300,0,299,455.98,446.34,103.69,0.2274,424,680,769,1121
halide,nv21_resize_rgb,nearest,2296,3056,1280,1280,90,0,300,0,771,913.55,898.14,130.07,0.1424,873,1150,1459,1699
halide,nv21_resize_rgb,nearest,2296,3056,1408,1408,90,0,300,0,826,966.62,954.60,105.94,0.1096,938,1120,1416,1580
halide,nv21_resize_rgb,nearest,3000,4000,384,384,90,0,300,0,114,250.17,236.51,114.54,0.4578,225,413,752,1063
halide,nv21_resize_rgb,nearest,3000,4000,518,518,90,0,300,0,163,307.07,300.31,81.35,0.2649,288,481,568,673
halide,nv21_resize_rgb,nearest,3000,4000,640,640,90,0,300,0,270,425.52,411.40,133.04,0.3126,394,625,893,1423
halide,nv21_resize_rgb,nearest,3000,4000,1280,1280,90,0,300,0,763,886.96,869.91,124.42,0.1403,841,1163,1366,1614
halide,nv21_resize_rgb,nearest,3000,4000,1408,1408,90,0,300,0,854,1035.46,1027.51,121.82,0.1176,1026,1210,1269,2374
halide,nv21_resize_rgb,linear,1080,1440,384,384,90,0,300,0,352,570.85,553.71,159.42,0.2793,544,854,1107,1574
halide,nv21_resize_rgb,linear,1080,1440,518,518,90,0,300,0,656,1039.12,1025.66,196.04,0.1887,991,1422,1570,1949
halide,nv21_resize_rgb,linear,1080,1440,640,640,90,0,300,0,697,894.01,878.86,168.16,0.1881,851,1220,1394,1721
halide,nv21_resize_rgb,linear,1080,1440,1280,1280,90,0,300,0,2657,2780.24,2773.04,84.60,0.0304,2765,2934,3085,3266
halide,nv21_resize_rgb,linear,1080,1440,1408,1408,90,0,300,0,2982,3187.11,3159.61,193.69,0.0608,3140,3436,4088,4695
halide,nv21_resize_rgb,linear,2296,3056,384,384,90,0,300,0,423,759.93,744.38,185.44,0.2440,715,1174,1415,1575
halide,nv21_resize_rgb,linear,2296,3056,518,518,90,0,300,0,561,834.45,821.10,168.26,0.2016,820,1092,1389,2075
halide,nv21_resize_rgb,linear,2296,3056,640,640,90,0,300,0,714,1011.83,991.20,247.83,0.2449,936,1452,1754,1960
