backend,op,interp,src_w,src_h,dst_w,dst_h,rot,stress,iters,variant,min_us,mean_us,trimmed_mean_us,stddev_us,cv,p50_us,p95_us,p99_us,max_us
halide,rotate,linear,1080,1440,1440,1080,90,0,10,0,891,1055.30,1055.30,276.83,0.2623,951,1873,1873,1873
halide,nv21_resize_rgb,nearest,1080,1440,384,384,90,0,300,0,124,272.88,248.03,165.51,0.6065,232,493,1116,1489
halide,nv21_resize_rgb,nearest,1080,1440,384,384,90,0,300,1,87,168.30,160.01,73.33,0.4357,149,302,435,563
halide,nv21_resize_rgb,nearest,1080,1440,384,384,90,0,300,2,168,317.75,300.06,132.51,0.4170,293,543,888,1266
halide,nv21_resize_rgb,nearest,1080,1440,384,384,90,0,300,3,106,195.51,192.60,55.10,0.2819,189,287,340,504
halide,nv21_resize_rgb,nearest,1080,1440,518,518,90,0,300,0,252,425.48,405.84,152.56,0.3586,386,693,1152,1318
halide,nv21_resize_rgb,nearest,1080,1440,518,518,90,0,300,1,151,260.06,253.39,79.56,0.3059,240,392,556,666
halide,nv21_resize_rgb,nearest,1080,1440,518,518,90,0,300,2,307,501.56,483.67,166.09,0.3311,468,817,1140,1496
halide,nv21_resize_rgb,nearest,1080,1440,518,518,90,0,300,3,172,279.19,275.04,59.96,0.2148,269,406,460,494
halide,nv21_resize_rgb,nearest,1080,1440,640,640,90,0,300,0,304,476.24,457.55,143.56,0.3015,442,750,1142,1277
halide,nv21_resize_rgb,nearest,1080,1440,640,640,90,0,300,1,193,337.19,331.44,87.57,0.2597,331,485,584,937
halide,nv21_resize_rgb,nearest,1080,1440,640,640,90,0,300,2,372,560.72,550.68,130.03,0.2319,548,767,1030,1318
halide,nv21_resize_rgb,nearest,1080,1440,640,640,90,0,300,3,302,522.25,496.02,190.32,0.3644,473,856,1481,1582
halide,nv21_resize_rgb,nearest,1080,1440,1280,1280,90,0,300,0,757,889.52,875.75,134.55,0.1513,826,1143,1345,1442
halide,nv21_resize_rgb,nearest,1080,1440,1280,1280,90,0,300,1,675,799.24,784.05,127.02,0.1589,770,1024,1140,1895
halide,nv21_resize_rgb,nearest,1080,1440,1280,1280,90,0,300,2,764,1122.27,1085.39,361.59,0.3222,985,1955,2110,2957
halide,nv21_resize_rgb,nearest,1080,1440,1280,1280,90,0,300,3,697,844.10,810.89,213.29,0.2527,749,1235,1700,2242
halide,nv21_resize_rgb,nearest,1080,1440,1408,1408,90,0,300,0,837,939.85,926.94,100.39,0.1068,907,1151,1299,1567
halide,nv21_resize_rgb,nearest,1080,1440,1408,1408,90,0,300,1,826,979.07,948.74,197.98,0.2022,918,1357,1991,2076
halide,nv21_resize_rgb,nearest,1080,1440,1408,1408,90,0,300,2,844,1028.62,1006.42,201.04,0.1954,948,1445,1738,1776
halide,nv21_resize_rgb,nearest,1080,1440,1408,1408,90,0,300,3,769,894.68,874.98,133.97,0.1497,848,1158,1437,1695
halide,nv21_resize_rgb,nearest,2296,3056,384,384,90,0,300,0,134,249.93,239.68,97.38,0.3896,227,409,511,1095
halide,nv21_resize_rgb,nearest,2296,3056,384,384,90,0,300,1,100,196.88,178.22,132.51,0.6730,167,348,600,1416
halide,nv21_resize_rgb,nearest,2296,3056,384,384,90,0,300,2,190,270.83,259.91,93.16,0.3440,231,454,584,784
halide,nv21_resize_rgb,nearest,2296,3056,384,384,90,0,300,3,109,252.86,242.47,104.06,0.4115,228,429,573,1133
halide,nv21_resize_rgb,nearest,2296,3056,518,518,90,0,300,0,208,425.78,405.94,157.63,0.3702,382,628,1170,1367
halide,nv21_resize_rgb,nearest,2296,3056,518,518,90,0,300,1,158,307.89,284.27,158.18,0.5137,269,466,1214,1306
halide,nv21_resize_rgb,nearest,2296,3056,518,518,90,0,300,2,311,540.33,521.99,178.15,0.3297,497,898,1156,1508
halide,nv21_resize_rgb,nearest,2296,3056,518,518,90,0,300,3,208,339.59,331.09,85.16,0.2508,325,486,598,994
halide,nv21_resize_rgb,nearest,2296,3056,640,640,90,0,300,0,307,509.85,483.96,176.26,0.3457,463,847,1288,1372
halide,nv21_resize_rgb,nearest,2296,3056,640,640,90,0,300,1,237,366.08,357.73,95.49,0.2608,349,508,633,1169
halide,nv21_resize_rgb,nearest,2296,3056,640,640,90,0,300,2,394,706.86,672.56,279.92,0.3960,647,1193,1636,3258
halide,nv21_resize_rgb,nearest,2296,3056,640,640,90,0,300,3,226,394.05,386.57,107.14,0.2719,380,575,759,997
halide,nv21_resize_rgb,nearest,2296,3056,1280,1280,90,0,300,0,755,880.35,860.17,144.26,0.1639,829,1180,1459,1674
halide,nv21_resize_rgb,nearest,2296,3056,1280,1280,90,0,300,1,673,867.78,839.83,210.82,0.2429,784,1287,1784,1871
halide,nv21_resize_rgb,nearest,2296,3056,1280,1280,90,0,300,2,781,1054.70,1029.77,270.36,0.2563,933,1567,1819,2220
halide,nv21_resize_rgb,nearest,2296,3056,1280,1280,90,0,300,3,709,871.10,845.24,217.81,0.2500,758,1342,1570,1756
halide,nv21_resize_rgb,nearest,2296,3056,1408,1408,90,0,300,0,866,1114.73,1089.21,206.62,0.1854,1063,1527,1907,2219
halide,nv21_resize_rgb,nearest,2296,3056,1408,1408,90,0,300,1,860,993.26,984.29,92.35,0.0930,969,1177,1344,1424
